GTIN,GTIN_12_UPC,PRODUCT_DESCRIPTION,INVOICE_UPC_CASE,INVOICE_UPC_PACK,INVOICE_PACKAGE_DESCRIPTION
00085000027134,085000027134,DARK HORSE CAN ROSE 375 ML,08500002713,085000027134,DARK HORSE ROSE CN
00008896000036,008896000036,CUSQUENA BEER 12 CT 12 OZ LONG NECK BOTTLE IN BOX 144 OZ,00896000043,008896000036,CUSQUENA 11.2OZ NR 2/12 PK
00081434315304,081434315304,NOBILO SAUVIGNON BLANC MARLBOROUGH 12/750ML,08143431530,081434315304,NOBILO SAUV BLANC 750ML
00082000781424,082000781424,SMIRNOFF SPIKED SPARKLING SELTZER VARIETY PACK MALT BEVERAGE 12 CT 12 OZ CAN IN BOX 144 OZ,82000781424,082000781424,SMIR SLZ ZPP 2/12 12 OZC
00854134007011,854134007011,GATE CITY COPPERHEAD AMBER ALE 6/12OZ,11111111111,854134007011,GATE CITY COPPERHEAD AMBER ALE 4/6/12Z CN
00071990170288,071990170288,COORS BEER 6 CT 12 OZ SHRTNCK BTTL IN CRTN 72 OZ,07199017028,071990170288,COORS BANQ 4/6 12 OZNR
00034100008567,034100008567,REDDS WICKED LEMONADE MALT BEVERAGE 1 CT 24 OZ CAN 24 OZ,11111111111,034100008567,REDDS WKD LEMONADE 24OZ CAN
00869927000056,869927000056,TRIPLE C BREWING COMPANY GOLDEN BOY BLONDE ALE 16OZ CAN,11111111111,869927000056,TRIPLE C GOLDEN BOY 6/4 16OZ CANS
00081308004150,081308004150,CUPCAKE SPARKLING ROSE 750ML BOTTLE,08130800415,081308004150,CUPCAKE SPARKLING ROSE 750ML
00078250006059,078250006059,STEEL RESERVE 211 ALLOY SERIES BLK BERRY MALT BEVERAGE 1 CT 24 OZ CAN 24 OZ,07825000605,078250006059,STEEL  BLKB 12/24 OZ CAN
00080516135120,080516135120,RIUNITE LAMBRUSCO EMILIA ITALY 1.5L,08051613512,080516135120,RIUNITE LAMBRUSCO 1.5L
00642860200321,642860200321,FOUNDERS KENTUCKY BREAKFAST STOUT BEER 4 CT 12 OZ GLASS BOTTLE 48 OZ,11111111111,642860200321,FOUNDERS KBS YEAR ROUND 6/4 12 OZ NR
00848375003079,848375003079,STORMCHASER WILD RIDE RED BLEND 12/750ML,11111111111,848375003079,ALDI STORMCHASER RED BLEND 12/750
00081434000309,081434000309,BLACK BOX MONTEREY CHARDONNAY TETRA 12/500ML,08143400030,081434000309,BLACK BOX CHARD TETRA 12PK 500
00710909750103,710909750103,SEA SUN CALIFORNIA CHARDONNAY 12/750ML BOTTLE,11111111111,710909750103,SEA SUN CHARD -18
00085200001569,085200001569,SUTTER HOME CAL ROSE 750 ML,85200104499,085200001569,SUTTER HOME ROSE
00022100010017,022100010017,PABST BLUE RIBBON BEER 1 CT 1984 OZ KEG 1984 OZ,22100010017,022100010017,PABST BLUE RIBBON 1/2 BBL
