GTIN,GTIN_12_UPC,PRODUCT_DESCRIPTION,INVOICE_UPC_CASE,INVOICE_UPC_PACK,INVOICE_PACKAGE_DESCRIPTION
00085725116076,085725116076,SAMUEL SMITH ORGANIC CHOCOLATE STOUT BEER 1 CT 19 OZ LONG NECK BOTTLE 18.7 OZ,08015741124,00085725116076,SAMUEL SMITH CHOCOLATE 18.7
00642860900245,642860900245,FOUNDERS ALL DAY IPA BEER 15 CT 12 OZ CAN IN BOX 180 OZ,11111111111,642860900245,FOUNDERS ALL DAY IPA 15/12 CANS
00081753050207,081753050207,VEUVE CLICQUOT BRUT YELLOW LABEL 12/750ML,81753050207,081753050207,VEUVE CLICQUOT BRUT
00071990095116,071990095116,BLUE MOON BELGIAN WHITE ALE BEER 6 CT 12 OZ LONG NECK BTL CRTN 72 OZ,11111111111,071990095116,BLUE MOON 6PK LNNR REPEAL
00847159002017,847159002017,SALINAN PASO ROBLES CABERNET SAUVIGNON 750ML,84715900201,847159002017,SALINAN WMKR CAB SEL PASO ROB
30085000017594,085000017593,BAREFOOT CELLARS BUBBLY MOSCATO 750ML BOTTLE,85000017593,085000017593,W BAREFOOT BUBBLY MOSCAT 750ML
00855165005076,855165005076,MEIOMI PINOT NOIR 12/750ML,85516500507,855165005076,MEIOMI P NOIR NL 750ML
00085904015503,085904015503,MOGEN DAVID CONCORD GRAPE KOSHER 6/1.5L,08590401550,085904015503,MOGEN DAVID CONCORD GRAPE 1.5L
00085000020457,085000020456,BAREFOOT PINK MOSCATO 12/750ML,11111111111,085000020456,BAREFOOT PINK MOSCATO 750
00086003813854,086003813854,RM WOODBRIDGE CABERNET SAUV 1.5 LTR,08600381385,086003813854,WOODBRIDGE CAB 1.5L
00721733003075,721733003075,PATRON EXTR ANJ IM TEQ GOLD 750 ML,72173300307,721733003075,PATRON EXTRA ANEJO TEQUILA
00083783531114,083783531114,SIERRA NEVADA HAZY LITTLE THING IPA BEER 12 CT 12 OZ CAN IN BOX 144 OZ,00837835311,083783531114,S/N HAZYLITTLE 2/12C
00853061004070,853061004070,FARGO BREWING COMPANY STONE'S THROW SCOTTISH ALE CAN,11111111111,853061004070,FBC STONES THROW 4/6/12 CAN
00723830130067,723830130067,LAGUNITAS HAZY WONDER IPA BEER 6 CT 12 OZ CAN IN BOX 72 OZ,11111111111,723830130067,LAGUNITAS HAZY WONDER 4/6 12 OZ CN
00085000014462,085000014462,CARLO ROSSI CABERNET SAUV 4.0 LTR,08500001446,085000014462,C ROSSI CABERNET SAUVIGNON
00034100989590,034100989590,HENRYS HARD SPARKLING WATER TROPICAL VARIETY PACK MALT BEVERAGE 6 CT 12 OZ CAN IN BOX 72 OZ,03410089603,034100989590,HENRYS TROPICAL PK 6CAN
00089744335852,089744335852,CHATEAU ST SULPICE BORDEAUX RED BLEND 750ML BOTTLE,11111111111,089744335852,CH.SAINT SULPICE
00081308003009,081308003009,CUPCAKE STILL MOSCATO 12/750ML,08130800300,081308003009,CUPCAKE MOSCATO STILL 750ML
00855310008273,855310008273,CROOK AND MARKER - 11.5OZ CANS COLLECTION THREE VARIETY 8 PACK,11111111111,855310008273,CROOK & MARKER VP BLUE 3/8 CAN
00638489003474,638489003474,DOGFISH HEAD 60 MINUTE IPA 4/6/12OZ CAN,11111111111,638489003474,DOGFISH 60 MINUTE IPA 4/6 12 CAN
10018341151050,018341151053,BAREFOOT CELLARS CHARDONNAY 1.5L BOTTLE,11111111111,018341151053,BAREFOOT CHARD 1.5
00078250006271,078250006271,STEEL RESERVE 211 ALLOY SERIES SPIKED BLUE RAZZ MALT BEVERAGE 1 CT 24 OZ CAN 24 OZ,11111111111,078250006271,STEEL RESERVE SPIKED BLUE RAZZ 12/24 OZ CN
00081434500151,081434500151,BLACKSTONE CALIFORNIA MERLOT 750ML BOTTLE,08143450015,081434500151,BLACKSTONE MERLOT CA 750ML
00086003904064,086003904064,R MNDV PS HRTG RED BLND/MRTG 750 ML,08600390406,086003904064,MOND HRTG CRUSH RED PVT SEL NL
00898079001024,898079001024,EDUCATED GUESS SONOMA COAST PINOT NOIR,89807900102,898079001024,EDUCATED GUESS P NOIR +14 750M
00869265000152,869265000152,FERNSON CURIO 6-PACK 12OZ CANS,11111111111,869265000152,FERNSON CURIO 4/6 CAN
00085200718740,085200718740,SUTTER HM SV BL SAV BL/FME BL 187 ML,08520071874,085200718740,SUTTER HM SAUVIGNON BLANC
00022100002890,022100002890,PABST BLUE RIBBON BEER 6 CT 12 OZ LONG NECK BTL CRTN 72 OZ,11111111111,022100002890,PABST 6 PK BTL
00722160223265,722160223265,ODELL SIPPIN PRETTY FRUITED SOUR ALE BEER 12 CT 12 OZ CAN IN BOX 144 OZ,11111111111,722160223265,ODELL SIPPIN PRETTY 2/12/12 CN
00084279989426,084279989426,BELLA BOLLE MOSCATO RED 750ML BOTTLE,08427998942,084279989426,BELLA BOLLE RED MOSCATO 6PK 75
00082100738519,082100738519,THE DREAMING TREE CABERBNET SAUVIGNON 12/750ML BOTTLES,08210073851,082100738519,THE DREAMING TREE CAB 750ML
00082184326022,082184326022,JACK DANIELS COUNTRY COCKTAILS LYNCHBURG LEMONADE 4/6/10OZ BOTTLE,08218422602,082184326022,JDCC LNCHBRG LEM MLT 4/6PK NEW 10OZ
00082100179060,082100179060,ARBOR MIST EXOTIC FRUIT WHITE ZINFANDEL 6/1.5L,08210017906,082100179060,ARBOR MIST EX FRT WH ZIN 1.5L
00085200000968,085200000968,STTR HM PNK MSC ROSE 750 ML,08520000096,085200000968,SUTTER PINK MOSCATO 750ML
00083804047150,083804047150,COOK'S GRAND RESERVE CHAMPAGNE SPARKLING WHITE WINE 750ML,08380404715,083804047150,COOKS CHAMP GRND RSV 750ML
00040426992312,040426992312,STARMONT CARNEROS CHARDONNAY 12/750ML BOTTLE,40426992312,040426992312,STARMONT CHARDONNAY 17
00071990100025,071990100025,COORS BEER 6 CT 16 OZ CAN 96 OZ,11111111111,071990100025,COORS 4/6PK 16OZ. CAN
00085200104482,085200104482,SUTTER HOME CALIFORNIA ROSE 6/4/187ML PLASTIC BOTTLES PET,08520010448,085200104482,SUTTER ROSE 6/4PK PET 187ML
00635985606116,635985606116,MIKES HARD CRANBERRY LEMONADE MALT BEVERAGE 6 CT 11 OZ GLASS BOTTLE IN CRTN 67.2 OZ,11111111111,635985606116,MIKES CRANBERRY 4/6PK LN
00087692300502,087692300502,SAMUEL ADAMS CARRIER 6X12OZ BOTTLES SAMUEL ADAMS SEASONAL,08769230050,087692300502,SAM WINTER 4/6 12 OZ LN
00858945005020,858945005020,LOVE HONEY BOCK 6 PACK 12 OZ CANS,11111111111,858945005020,LOST 40 LOVE HONEY 4/6 12OZ CAN
00817606010780,817606010780,POWDER DREAMS 16 OZ CAN,11111111111,817606010780,CAPT LAW TEARS OF GREEN IMP IPA 6/4/16OZ CANS
00087872634014,087872634014,STELLA ROSA LUX SPARKLING BLACK 750ML BOTTLE,08787263401,087872634014,STELLA ROSA BLK LUX SPRK 750ML
00085000026083,085000026083,BAREFT TAP MSCO WHT VARTL OTH 3.0 LTR,11111111111,085000026083,BAREFOOT MOSCATO 6/3L BIB
00080157132045,080157132045,PAULANER GRAPEFRUIT RADLER BEER 4 CT 17 OZ PLASTIC WRAPPED CAN 67.6 OZ,11111111111,080157132045,PAULANER GRAPEFRUIT RADLER 6/4 16.9 OZ CAN
00669576020548,669576020548,DUCKHORN CHARDONNAY NAPA VALLEY 18 750ML BOTTLE,11111111111,669576020548,DUCKHORN NAPA CHARD
00088586004483,088586004483,14 HANDS HOT TO TROT RED BLEND 12/750ML,08858600448,088586004483,14 HANDS HOT TO TROT RED 750ML
00070897183315,070897183315,FOSTERS SPECIAL BITTER ALE BEER 1 CT 25 OZ CAN 25.4 OZ,07089718331,070897183315,FOSTERS GREEN 12/25.4OZ OIL CAN
00850832004260,850832004260,BREAD & BUTTER CALIFORNIA CHARDONNAY 12/750ML,85083200426,850832004260,BREAD AND BUTTER CHARDONNAY 2015
00041755000761,041755000761,LANGERS MANGO NECTAR JUICE 12/15.2OZ PET,11111111111,041755000761,LANGERS MANGO NECTAR 12/15.2 PLNNR
00081308003511,081308003511, AVA GRACE CHARDONNAY 750ML BOTTLE,81308003511,081308003511,AVA GRACE CHARDONNAY
40085000022434,085000022436,LA MARCA PROSECCO DI CONEGLIANO 24/187ML BOTTLE,8500002243,085000022436,W LAMARCA PROSECCO 187ML
00638489002477,638489002477,DOGFISH HEAD AMERICAN BEAUTY HAZY RIPPLE IPA 4/6/12OZ CAN,11111111111,638489002477,DFH AMERICAN BEAUTY 4/6/12 CN
00081308003368,081308003368,LOVE NOIR PINOT NOIR 750ML,08130800336,081308003368,LOVE NOIR P NOIR 750ML
10850832004267,850832004260,BREAD & BUTTER CHARDONNAY 750ML,85083200426,850832004260,BREAD AND BUTTER CHARDONNAY 2015
00749504334081,749504334081,OFALLON SEASONAL BEER 6 CT 12 OZ LONG NECK BOTTLE 72 OZ,4950433345,00749504334081,O'FALLON VAN PUMPKIN 4/6 LNNR
10085000005368,085000005361,BAREFOOT CELLARS CHARDONNAY 6/4/187ML PET,8500000536,085000005361,W BAREFOOT CHARD 187ML
00085200618743,085200618743,SUTTER HOME CHARDONNAY 187 ML,08520061874,085200618743,SUTTER CHARD 6/4PK PET 187ML
00087692000334,087692000334,ANGRY ORCHARD CARTON 12X12OZ BOTTLES ANGRY ORCHARD CRISP APPLE,11111111111,087692000334,AO CRISP 12PK BTL
00085000428900,085000428900,BAREFOOT REFRESH PINOT GRIGIO SPRITZER 6/4/250ML CAN,08500042890,085000428900,BAREFOOT SPRITZER PINOT GRIGIO
00856247003003,856247003003,SWEET CHILD OF VINE - 6 PK 12 OZ BOTTLES,5624700300,00856247003003,FUL SCVINE 4/6 NR
00087692001492,087692001492,ANGRY ORCHARD CARRIER 6X12OZ BOTTLES ANGRY ORCHARD GREEN APPLE,8769200149,00087692001492,ANGRY ORCH GRN APLE 6P B
20085000014435,085000014431,BAREFOOT CELLARS PINOT GRIGIO 1.5L BOTTLE,8500001443,085000014431,BAREFOOT PINOT GRIGIO 1.50
00635985067443,635985067443,MIKES HARD BLACK CHERRY LEMONADE MALT BEVERAGE 6 CT 11 OZ GLASS BOTTLE IN CRTN 67.2 OZ,3598506744,635985067443,1/6 BBL EMPTY 3 NATIONS
00085000022412,085000022412,MOISELLE RED MOSCATO 750ML BOTTLE,8500002241,085000022412,W MOISELLE RED MOSCATO 750ML
10018341151050,018341151053,BAREFOOT CELLARS CHARDONNAY 1.5L BOTTLE,1834115105,018341151053,BAREFOOT CHARDONNAY 1.50
00085000007495,085000007495,ANDRE PINK BLSH CHAMP PNK/RED 750 ML,8500000743,085000007495,W ANDRE BLUSH 750ML
20085000020603,085000020609,BAREFOOT MOSCATO PINK 1.5L BOTTLE,8500002060,085000020609,W BAREFOOT PINK MOSCATO 1.5LT
20085000023635,085000023631,BRIDGE ROAD PINOT NOIR 1.5L BOTTLE,8500002363,085000023631,W BRIDGE ROAD PINOT NOIR 1.5LT
00085000022429,085000022429,MOISELLE PINK MOSCATO 12/750ML,8500002242,085000022429,W MOISELLE PINK MOSCATO 750ML
00082242013741,082242013741,BOTA BOX NIGHTHAWK RED WINE BLEND 3/3L,8224201374,082242013741,BOTA BOX NIGHTHAWK BLACK RED B
00071990095277,071990095277,COORS LIGHT BEER 15 CT 16 OZ ALUMINUM BOTTL IN BX 240 OZ,7199009527,071990095277,COORS LIGHT ALUMITEK 15/16 OZ LN
00085000019917,085000019917,GALLO F PNK MSC ROSE 1.5 LTR,8500001991,085000019917,GFV PINK MOSCATO 1.50
00085725154061,085725154061,WESTMALLE TRIPEL TRAPPIST ALE BEER 1 CT 25 OZ GLASS BOTTLE 25.4 OZ,8572515406,085725154061,WESTMALLE TRIPEL ALE 6/750ML
00078250003348,078250003348,STEEL RESERVE 211 HIGH GRAVITY LAGER BEER 1 CT 40 OZ GLASS BOTTLE 40 OZ,7825000334,078250003348,STEEL RESERVE 12/42 OZ LN
30085000027142,085000027141,DARK HORSE PINOT GRIGIO 12/375ML CAN,8500002714,085000027141,W DARKHORSE PINOTGRO CAN 375ML
00085000022702,085000022702,MOISELLE SWEET RED 12/750ML BOTTLE,8500002270,085000022702,W MOISELLE SWEET RED 750ML
00081128001094,081128001094,OLD FORESTER 1910 KENTUCKY STRAIGHT BOURBON WHISKEY 93PF 6/750ML BOTTLE,8112800109,081128001094,OLD FORESTER 1910
00085000022924,085000022924,DARK HORSE CAL SAV BL/FME BL 750 ML,8500002292,085000022924,W DARKHORSE SAUV BLANC 750ML
00070897183315,070897183315,FOSTERS SPECIAL BITTER ALE BEER 1 CT 25 OZ CAN 25.4 OZ,7089718331,070897183315,FOSTERS PREMIUM GREEN 12/25.4 OZ OIL CN
30085000026732,085000026731,BAREFOOT BUBBLY BRUT ROSE CALIFORNIA 12/750ML BOTTLE,8500002673,085000026731,W BAREFOOT BUBBLY BRTROS 750ML
00085000015865,085000015865,GALLO FAM TV CA PN GRIS/GRGIO 1.5 LTR,8500001586,085000015865,W GALLO PINOT GRIGIO 1.5LT
50085000024985,085000024980,BAREFOOT REFRESH SPRITZ MOSCATO 6/4/250ML CAN,8500002498,085000024980,W BFTRFSH MOSCATO SPRITZ 250ML
00070310014844,070310014844,SEAGRAMS ESCAPES SPIKED STRAWBERRY DAIQUIRI MALT BEVERAGE 1 CT 24 OZ CAN 23.5 OZ,11111111111,070310014844,SEAGRAMS SPIKED STRAWBERRY DAQ 12/23.5Z CN
00031259003726,031259003726,JOSH CELLARS PROSECCO 750ML,31259003726,031259003726,JOSH CELLARS PROSECCO
00085200000982,085200000982,SUTTER HM WHITE WHT ZINFANDEL 187 ML,00000850982,085200000982,SUTTER PINK MOSCATO TRAY PK 1.
00085000020753,085000020753,BRIDGE ROAD VINEYARD CABERNET SAUVIGNON 6/1.5L,8500002075,085000020753,W BRIDGE ROAD CABERNET 1.5L
00087000005518,087000005518,GODIVA WHT CHOC SPECIALTY LIQ 750 ML,0008200073,087000005518,'GODIVA WHITE LIQUEUR'
00858426005013,858426005013,KARBEN4 BREWING 6PK - FANTASY FACTORY IPA,11111111111,858426005013,K4 FANTASY FACTORY 4/6 BTL--IPA
10082242013748,082242013741,BOTA NIGHTHAWK RED 3LT BOX,8224201374,082242013741,BOTA BOX NIGHTHAWK BLACK RED B
00083120003113,083120003113,OAK LEAF CAL WHT ZINFANDEL 3.0 LTR,08312000311,083120003113,OAKLEAF WH ZIN BIB 3L
00085000020456,085000020456,BAREFOOT PK MSC ROSE 750 ML,8500002045,085000020456,W BAREFOOT PINK MOSCATO 750ML
00086003813854,086003813854,RM WOODBRIDGE CABERNET SAUV 1.5 LTR,8600381385,086003813854,WOODBRIDGE CABERNET 1.50
00085000045596,085000045596,BAREFOOT CAL DM MSCTL/MSCT 187 ML,08500004559,085000045596,BAREFOOT MOSCATO           PET
00086785211367,086785211367,ROSCATO ROSSO DOLCE LOMBARDY RED BLEND 12/2/250ML CAN,08678521136,086785211367,ROSCATO ROSSO DOLCE SWT 12/2 2
10080480015302,080480015305,BACARDI SUPERIOR LIGHT RUM,80480015305,080480015305,BAC LIGHT RUM
00081584013174,081584013174,KENDALL JACKSON VINTNERS RESERVE CABERNET SAUVIGNON 12/750ML BOTTLE,08158401317,081584013174,KJ CAB VR NL 750ML
00614036301910,614036301910,NEW HOLLAND DRAGONS MILK WHITE BOURBON BARREL AGED WHITE STOUT BEER 6 CT 12 OZ CAN IN BOX 72 OZ,11111111111,614036301910,NEW HOLLAND DRAGONS MILK WHITE STOUT 4/6 12OZ CAN
00082242010412,082242010412,DELICATO BOTA BOX TETRA CABERNET SAUVIGNON TETRA 12/500ML,08224201041,082242010412,BOTA BOX CAB TETRA 12PK 500ML
00088586009242,088586009242,BORNE OF FIRE CABERNET SAUVIGNON 750ML BOTTLE,11111111111,088586009242,BORNE OF FIRE CAB SAUV 750
00856036001043,856036001043,UNDERWOOD PINOT NOIR 375ML,85603600104,856036001043,UNDERWOOD P NOIR OREGON GROWN 375ML
00768675960127,768675960127,KING ESTATE WILLAMETTE VALLEY SELECT PINOT GRIS 12/750ML,76867596012,768675960127,KING EST P GRIS 750ML
00071990095277,071990095277,COORS LIGHT BEER 15 CT 16 OZ ALUMINUM BOTTL IN BX 240 OZ,11111111111,071990095277,LIGHT 15PK 16OZ. ALUM PT.
00085200028580,085200028580,VINTAGE CRSH CA CABERNET SAUV 1.5 LTR,08520002858,085200028580,VINTAGE CRUSH CAB 1.5L
00078000001617,078000001617,7UP SODA 24/20OZ PET PLASTIC BOTTLES,11111111111,078000001617,7UP 24/20OZ NR
00022100050020,022100050020,PABST BLUE RIBBON HARD COFFEE MALT BEVERAGE 4 CT 11 OZ CAN IN BOX 44 OZ,11111111111,022100050020,PABST HARD COFFEE 6/4PK 11OZ CAN
00876153002266,876153002266,CASTELLO DEL POGGIO MOSCATO PROVINCIA 750ML,87615300226,876153002266,CASTELLO MOSC PRO DI PAV IGT 7
00082000723998,082000723998,SMRNF RASPBERY* VODKA OTH PRF 1.75 LTR,82000767916,082000723998,SMIRNOFF RASP TWIST VODKA
00642860150053,642860150053,FOUNDERS CENTENNIAL IPA BEER 6 CT 12 OZ CAN IN BOX 72 OZ,11111111111,642860150053,FOUNDERS CENTENNIAL IPA 4/6 12 OZ CAN
00858527002232,858527002232,ROCK & VINE CABERNET,11111111111,858527002232,ROCK & VINE 3 RANCHES CAB
00018341151107,018341151107,BAREFOOT CAL MERLOT 1.5 LTR,18341151100,018341151107,W BAREFOOT MERLOT 1.5ML
00857280008468,857280008468,FLYING EMBERS GINGER KOMBUCHA 12OZ 4PK,11111111111,857280008468,FLYING EMBERS GINGER HARD KOMBUCHA 6/4 12OZ CANS
00071990170523,071990170523,BLUE MOON BELGIAN WHITE WHEAT ALE BEER 15 CT 12 OZ CAN IN BOX 180 OZ,11111111111,071990170523,BM BELGIAN WHT 2/15PK CAN
00892186000246,892186000246,POPPY MONTEREY PINOT NOIR 750ML BOTTLE,11111111111,892186000246,POPPY PINOT NOIR 12/750
00085200000623,085200000623,SUTTER MH MSCTO DM MSCTL/MSCT 1.5 LTR,08520000062,085200000623,SUTTER MOSCATO TRAY CUT 1.5L
00085000015810,085000015810,BAREFOOT CAL RIESLING 750 ML,11111111111,085000015810,BAREFOOT RIESLING 750
00088004036218,088004036218,MYERS'S ORIGINAL DARK RUM 12/1L BOTTLE,82000769026,088004036218,MYERS ORIG DARK RUM BAR
00070491569003,070491569003,FINEST CALL SINGLE PRESSED LIME JUICE MIX 12/1L PET,70491569003,070491569003,FC NA PRESSED LIME JUICE
00081434000033,081434000033,BLACK BOX CABERNET SAUVIGNON 6/3L,08134000033,081434000033,BLACK BOX CABERNET 6/3.0L BX
00088232003167,088232003167,VENDANGE CHARDONNAY TETRA 12/500ML,08823200316,088232003167,VENDANGE CHARD     TETRA 500ML
10081434000030,081434000033,BLACK BOX CABERNET SAUVIGNON CHILE 6/3L BOX,81434000033,081434000033,BLACKBOX CAB SAUV BOX
00080432108192,080432108192,JACOB CREEK DOUBLE BARREL SHIRAZ 6/750ML,08043210819,080432108192,JACOBS CRK SHIRAZ DBL BRL 6PK
00080660956237,080660956237,CORONA LIGHT BEER 18 CT 12 OZ LONG NECK BTL IN BOX 216 OZ,11111111111,080660956237,CORONA LIGHT 18/12 BTL
00085000007164,085000007167,CARLO ROSSI SANGRIA 4/4L,08500000716,085000007167,C ROSSI SANGRIA
10083120103698,083120103691,FRANZIA SUNSET BLUSH 4/5L BOX,08312010369,083120103691,FRANZIA SUNSET BLUSH 5L
00080120281510,080120281510,ALMADEN HERITAGE CABERNET SAUVIGNON BIB 5L BOX,08012028151,080120281510,ALMADEN CAB BOX 5L
00085000046647,085000046647,BAREFOOT ROSE 6/4/187ML PET,08500004664,085000046647,BAREFOOT ROSE  PET
00085200518746,085200518746,SUTTER HOME CABERNET SAUV 187 ML,85200100798,085200518746,SUTTER HOME CAB SAUV ON-P
00896974002191,896974002191,LUCKY BUCKET SEASONAL BEER SIX PACK,11111111111,896974002191,LUCKY BUCKET SNOW SUIT 4/6 12 OZ NR
00087692006787,087692006787,TRULY WRAP 6X12OZ SLIM CAN TRULY WILD BERRY,11111111111,087692006787,TRULY WILD BERRY 4/6 12 OZ CN
00635985060741,635985060741,MIKES HARD SEASONAL MALT BEVERAGE 6 CT 11 OZ GLASS BOTTLE IN CRTN 67.2 OZ,63598506074,635985060741,MIKES WATERMELON 4/6/11.2 LN
10081584130403,081584130406,KENDAL JACKSON SAUVIGNON BLANC ,08158413040,081584130406,KJ SAUV BLANC VR 750ML
00082734213673,082734213673,CONCHA Y TORO FRONTERA CENTRAL VALLEY CHILE CABERNET SAUVIGNON 6/1.5L,08273421367,082734213673,FRONTERA CAB 1.5L
00088586621847,088586621840,CHATEAU STE MICHELLE RIESLING 12/750ML,08858662184,088586621840,CSM JO RIES TRAY PK 750ML
00088110150556,088110150556,HENNESSY COGNAC VS 80PF 12/750ML,88110150556,088110150556,HENNESSY VS COGNAC
00085000029008,085000029008,BAREFT PCH MSCT FRUIT VRTL WN 750 ML,11111111111,085000029008,BAREFOOT PEACH MOSCATO 750
00078250006264,078250006264,STEEL RESERVE 211 ALLOY SERIES SPIKED BLUE RAZZ MALT LIQUOR 4 CT 16 OZ CAN 64 OZ,11111111111,078250006264,STEEL ALLOY BLUE RAZZ 6/4/16Z CN
00087692832317,087692832317,TWISTED TEA CAN 24OZ TWISTED TEA ORIGINAL,11111111111,087692832317,TWISTED TEA 12/24 CAN
00080686042204,080686042204,KESSLER FISHING WI,80686042204,080686042204,KESSLER BLND WSKY BAR 80
00071990095277,071990095277,COORS LIGHT BEER 15 CT 16 OZ ALUMINUM BOTTL IN BX 240 OZ,11111111111,071990095277,COORS LIGHT ALUM 15PK
00081434000309,081434000309,BLACK BOX MONTEREY CHARDONNAY TETRA 12/500ML,08143400030,081434000309,BLACK BOX CHARD TETRA 12PK 500ML
00034100522100,034100522100,STEEL RESERVE 211 ALLOY SERIES SPIKED MYSTERY MALT BEVERAGE 1 CT 24 OZ CAN 24 OZ,11111111111,034100522100,STEEL RESERVE SPIKED MYSTERY 12/24 OZ CN
00086003873889,086003873889,RM WOODBRIDGE CHARDONNAY 1.5 LTR,08600387388,086003873889,WOODBRIDGE CHARD TRAY PK 1.5L
00635985548904,635985548904,WHITE CLAW HARD SELTZER VARIETY PACK MALT BEVERAGE 12 CT 12 OZ CAN IN BOX 144 OZ,11111111111,635985548904,WC #1 VARIETY 2/12/12 CAN 5
00085200118861,085200118861,SUTTER HOME CALIFORNIA RED BLEND 6/4/187ML PET,85200102747,085200118861,SUTTER HOME RED BLEND
00684746400463,684746400463,CLUBTAILS COCKTAIL PARTY VARIETY PACK MALT BEVERAGE 8 CT 16 OZ CAN,11111111111,684746400463,CLUBTAILS VARIETY 3/8/16 CAN
00815829010068,815829010068,CAYMAN JACK MARGARITA 4/6/11.2 OZ BOTTLE,11111111111,815829010068,CAYMAN JACK MARGARITA 4/6/11.2 BTL
30085000027135,085000027134,DARK HORSE ROSE 12/375ML CAN,08500002713,085000027134,DARK HORSE ROSE CN
00739958064801,739958064801,FRANCIS FORD COPPOLA DIAMOND COLLECTION CALIFORNIA CABERNET SAUVIGNON 12/750ML,73995806480,739958064801,COPPOLA CAB DIAMOND +14 750ML
10086003873886,086003873889,WOODBRIDGE CHARDONNAY 6/1.5 L BOTTLE,08600387388,086003873889,WOODBRIDGE CHARD TRAY PK 1.5L
00071990770082,071990770082,COORS NON ALCOHOLIC MALT BEVERAGE 12 CT 12 OZ CAN IN BOX 144 OZ,11111111111,071990770082,COORS EDGE NA 2/12 CAN
00083120193616,083120193616,FRANZIA BOX BLUSH 3.0 LTR,08312019361,083120193616,FRANZIA SUNSET BLUSH 3L
00712808129820,712808129820,HIGHLAND GAELIC ALE 4/6/12OZ BOTTLE,71280813976,712808129820,HIGH GAELIC 4/6 LN
00085200600496,085200600496,WINE CUBE CALIF CABERNET SAUV 500 ML,85200660490,085200600496,WINE CUBE CAB SAUV TETRA
00088586009242,088586009242,BORNE OF FIRE CABERNET SAUVIGNON 750ML BOTTLE,08858600924,088586009242,BORNE OF FIRE CAB COLUMBIA VLY 750ML
00731760713137,731760713137,HEAVY SEAS TROPICANNON 4/6/12OZ CAN,11111111111,731760713137,HEAVY SEAS TROPI CANNON 24/12 CAN 4/6
20085000017368,085000017364,BAREFOOT CELLARS PINOT NOIR 1.5L BOTTLE,11111111111,085000017364,BAREFOOT PINOT NOIR 1.5
00070897183315,070897183315,FOSTERS SPECIAL BITTER ALE BEER 1 CT 25 OZ CAN 25.4 OZ,07089718331,070897183315,FOSTERS PREMIUM 1/12/25.4OZ CAN
10081434000290,081434000293,BLACK BOX CABERNET SAUVIGNON CHILE 12/500ML TETRA,81434000293,081434000293,BLACKBOX CAB SAUV TETRA
00084279987958,084279987958,BELLA BOLLE ROSSO 12/750ML BOTTLE,08427998795,084279987958,BELLA BOLLE SWT RED 6PK 750ML
00681131329156,681131329156,LUCKY DUCK SHIRAZ RED WINE - 750ML AUSTRALIA,68113132915,681131329156,LUCKY DUCK SHIRAZ 750ML
00085246139462,085246139462,MMK BBN 200X24 45% JP,85246451564,085246139462,MAKERS MARK BRBN
00034100516079,034100516079,LEINENKUGELS SHANDY SEASONAL BEER 12 CT 12 OZ LONG NECK BTL IN BOX 144 OZ,34100516079,034100516079,LEIN SUM SH2/12 OZLNNR
10086785110735,086785110738,ROSCATO ROSSO DOLCE 750ML BOTTLE,08678511073,086785110738,ROSCATO ROSSO DOLCE TRAY 750ML
00082242015684,082242015684,GNARLY HEAD 1924 BOURBON BARREL CABERNET SAUVIGNON 12/750ML,11111111111,082242015684,GNARLY HEAD 1924 BOURB BAR AGED CAB SAUV
10848375003076,848375003079,STORMCHASER RED BLEND 750ML BOTTLE,11111111111,848375003079,ALDI STORMCHASER RED BLEND 12/750
00099988071294,099988071294,MENAGE A TRS MD RED BLND/MRTG 750 ML,09998807129,099988071294,MENAGE A TROIS MDNGHT RED 750M
00681131011006,681131011006,LUCKY DUCK ROS PINK WINE - 750ML CALIFORNIA,68113101100,681131011006,LUCKY DUCK ROSE 750ML
10083120000973,083120000976,OAK LEAF RED BLEND 750ML BOTTLE,83120000983,083120000976,OAK LEAF RED BLEND
00094799010043,094799010043,GRAHAMS CHARACTER SIX GRAPES 12/750ML BOTTLE,11111111111,094799010043,GRAHAMS SIX GRAPES PORT
00080660956756,080660956756,CORONA LIGHT BEER 12 CT 12 OZ LONG NECK BTL IN BOX 144 OZ,11111111111,080660956756,CORONA LIGHT 2/12PK LN
00016571950293,016571950293,SPARKLING ICE STRAWBERRY LEMONADE 12/17OZ PET,11111111111,016571950293,SPARKLING STRAW LEMONADE 12/17OZ BTL
00087692000839,087692000839,ANGRY ORCHARD WRAP 12X12OZ ANGRY ORCHARD CRISP APPLE,08769200083,087692000839,ANGRY ORCHARD CRISP APPLE 2/12/12 CN
00085200718740,085200718740,SUTTER HM SV BL SAV BL/FME BL 187 ML,85200100859,085200718740,SUTTER HOME SAUV BLANC
00085200518746,085200518746,SUTTER HOME CABERNET SAUV 187 ML,08520051874,085200518746,SUTTER CAB 6/4PK PET 187ML
00088004010133,088004010133,TAAKA VODKA 80PF 12/1L BOTTLE,88004010133,088004010133,TAAKA VODKA
00851464003577,851464003577,REVOLUTION BREWING ANTI HERO ANTI-HERO 19.2 OZ. CAN SINGLE SERVE,11111111111,851464003577,REV ANTI-HERO 12/19.2OZ CAN--IPA
00083120100195,083120100195,FRANZIA MERLOT 5 LTR+,08312010019,083120100195,FRANZIA MERLOT VS       BNB 5L
