INVOICE_UPC_CASE,LEN(INVOICE_UPC_CASE),INVOICE_UPC_PACK,LEN(INVOICE_UPC_PACK),INVOICE_PACKAGE_DESCRIPTION
11111111111,11,848375003079,12,ALDI STORMCHASER RED BLEND 12/750
11111111111,11,082242015684,12,GNARLY HEAD 1924 BOURB BAR AGED CAB SAUV
08723600211,11,087236002114,12,REMY MARTIN 1738 ROYAL 6PK 750
11111111111,11,111111111111,12,DIET COKE ALUMINUM 9000050998 8 Z 24/8 Z
11111111111,11,034100516789,12,H LIFE 16OZ 12 CAN
11111111111,11,042200002576,12,SHASTA TONIC WATER 24/10 Z
14000580202,11,083103478242,12,MORAGA CAY WHITE RUM
08312010069,11,083120100690,12,STE GEN PINK MOSCATO
75496001602,11,075496001602,12,ANGOSTURA BITTERS
08427999240,11,084279992402,12,BELLA BOLLE MOSC D ASTI 1.5L
86785211367,11,086785211367,12,ROSCATO ROSSO DOLCE 2PK
71803855615,11,718038556153,12,PARKER STATION P NOIR 750ML
08597603415,11,085976034150,12,MANISCHEWITZ CONCORD GRAPE 1.5
66957602056,11,669576020562,12,DUCKHORN DECOY ROSE 18
81128001926,11,100812281027,12,WOODFORD RES BATCH PROOF
08858660183,11,088586601835,12,CSM CAB 750ML
11111111111,11,087692008385,12,ANGRY ORCHARD UNFILTERED CRISP 4/6 12 OZ NR
08224201437,11,082242014373,12,BOTA BOX ROSE DRY 3PK 3L
07480618610,11,074806186107,12,DAILYS RTD POUCH BLUE HAW 24PK
08600300257,11,086003002579,12,R M WOODBRIDGE MERLOT
08043210818,11,080432108185,12,JACOBS CRK CAB DBL BRL 6PK +14
08500024879,11,085000248799,12,BAREFOOT BUBBLY BRUT
11111111111,11,819942000067,12,OSK OLD CHUB 4/6-12 CANS
01820966934,11,001820007985,12,BUD SELECT LNNR 4/6
11111111111,11,999999999993,12,BLUE MOON 1/6 BBL
07199030030,11,071990300302,12,COORS LT 30/12 OZ CAN
11111111111,11,793271991121,12,DUCK RABBIT VARIETY SAMPLER PACK 2/12 BTLS
11111111111,11,080432802274,12,SEAGRAMS PEACH BELINI 24/11.2 PALLET
86000018317,11,086785110738,12,UNO MAS MARGARITA LIME BBL 6/4
88076171428,11,088076180574,12,SINGLETON OF GLENDULLAN 12YR
11111111111,11,850544005241,12,BLAKES EL CHAVO MANGO HABANERO CIDER 4/6/12Z CN
11111111111,11,083837006438,12,CASTLE ROCK COL VLY CHARD
11111111111,11,850024850019,12,TROOBADO PINA COLADA SMOOJ
11111111111,11,855907004084,12,LTB MEXICAN LAGER 4/6/12 CN
11111111111,11,867692000127,12,FIRST MAG WAKULLA HEFE 4/6 CAN
11111111111,11,111111111117,12,COORS LT. 20PK NR 12OZ
11111111111,11,877591002245,12,SIDURI WILLAMETTE PN -18
76803520300,11,768035203000,12,SILVER PALM CAB 750ML
11111111111,11,723830106123,12,LAGUNITAS DAYTIME LOWCAL 2/12/12 CAN
11111111111,11,022100112193,12,PABST BLUE RIBBON 30PK CANS 30/12 OZ
11111111111,11,041498242565,12,ALDI TAILSLIDE PINOT NOIR 12/750
11111111111,11,089744757234,12,JOLIVET ATTITUDE PN ROUGE
96749934201,11,096749934201,12,DUB ORANGE CURACAO
80480015602,11,080480015602,12,BAC LIGHT RUM FLASK
11111111111,11,856471006399,12,FAIR STATE MIRROR UNIVERSE 6/4 CN 16OZ
08308590308,11,083085903084,12,RUFFINO CHIANTI CLS DUC TAN 75
08310397109,11,083103971095,12,UNO MAS MARGARITA RTD PEACH 1.
11111111111,11,642860200376,12,FOUNDERS BACKWOODS BASTARD 6/4 12 OZ
18200965845,11,018200005336,12,HURICAN HG 12/40 BTL
11111111111,11,080887551048,12,JUGGERNAUT RUSSIAN RIVER PN
81349700590,11,813497005904,12,BELAIRE LUC RARE ROSE 6PK 750M
11111111111,11,081054996211,12,CHARLES SHAW PINOT NOIR ORG GROWN 12/750
11111111111,11,087975066507,12,SAPPORO PREMIUM SILVER CAN 22OZ
11111111111,11,070310307014,12,GENESEE BEER 2/12 CAN
08224201105,11,082242011051,12,BOTA BOX CHARD 3PK 3L
07199030104,11,071990301040,12,COORS LT ALUM 2/9 16 OZ
82000769026,11,088004036218,12,MYERS ORIG DARK RUM BAR
80686821021,11,080686821021,12,CAN CLUB WSKY
84014800025,11,840148000254,12,SALVARE CAB 6PK 750ML
08500004664,11,085000046647,12,BAREFOOT ROSE  PET
08143471014,11,081434710147,12,BLACK BOX ROSE CALIF BIB 6PK 3
08200000051,11,082000000051,12,SMIRNOFF VODKA 80
11111111111,11,759446120833,12,LBACH STRAWBERRY SPLASH 750 ML
03410000882,11,034100001605,12,ICEHOUSE 6/4/16 CN
08130800106,11,081308001067,12,CUPCAKE P GRIGIO 750ML
11111111111,11,070310012444,12,SEAGRAMS VARIETY 2/12/12 CAN
80480545307,11,080480545307,12,B & B LIQUEUR
08143450009,11,081434500090,12,BLACKSTONE CAB CA 750ML
11111111111,11,722160223265,12,ODELL SIPPIN PRETTY 2/12/12 CN
11111111111,11,855310008068,12,C&M VARIETY RED 8PK
11111111111,11,888888888886,12,DELIRIUM TREMENS-SM-METAL TACKER
08312010369,11,081308001326,12,CUPCAKE PROSECCO 750ML
08858600785,11,088586007859,12,INTRINSIC CAB COL VLY +14 750M
11111111111,11,111111111117,12,COORS LT. ALUM. PINT 15PK
11111111111,11,727760505698,12,CHARLES BOVE SPARKLING NV 12/750
11111111111,11,087692821021,12,ANGRY ORCHARD CRISP APPLE 4/6/12 BTL
08427998565,11,084279985657,12,BELLA BOLLE MOSC D ASTI 6PK 75
11111111111,11,635985224136,12,MIKES STRAWBERRY 4/6 BTL
11111111111,11,635985245834,12,MIKES HRDR LEMON 24OZ
06206738059,11,062067380426,12,LABATT ICE 2/12 CAN
07874205867,11,078742058672,12,MEMBERS MARK MALBEC MS 750ML
08597603415,11,085976034150,12,MANISCHEWITZ CONCORD GRAPE OUP
85283200015,11,852832000150,12,MUMM NAPA BRUT PRESTIGE NV 750ML
11111111111,11,856412006051,12,PP MIX PACK 2/12 CN
82000752585,11,082000752585,12,GRIND ESPRESSO
08500004528,11,085000045282,12,BAREFOOT PINOT GRIGIO
08520000105,11,085200001057,12,SUTTER FRE BRUT N/A 750ML
11111111111,11,083706014151,12,DUVEL 6/4 -11.2 NR
87615300110,11,876153001108,12,ZONIN P GRIGIO 6PK 750ML
11111111111,11,111111111117,12,AVIRON BEAUJOLAIS VILLAGE
11111111111,11,748252065797,12,BREWER CLIFTON S.R. HILL PN 6PK -16
11111111111,11,111111111117,12,EMPTY 1/6 MBC KEG
11111111111,11,856128005416,12,DENVER BEER TART DELIGHT 4/6PK CANS
80480016210,11,080480016210,12,BAC LIGHT RUM
08974476055,11,089744760555,12,LUIGI BOSCA MALBEC DOC
82000792710,11,082000790808,12,SMIRNOFF WATERMELON & MINT
08600325300,11,086003253001,12,CHARLES SMITH RIES KG FU NWUPC
11111111111,11,111111111117,12,ABT PURPLE HAZE 1/2K
11111111111,11,034100006129,12,OLD ENGLISH 800 12/24 CAN
11111111111,11,752830675582,12,DEVILS FOOT-CLASSIC GINGER BEER 6/4/12OZ CAN
99988071638,11,099988071621,12,MENAGE A TROIS BR BRL CAB SAUV
83120101994,11,083120101994,12,FRANZIA REFRESHING WHITE
11111111111,11,087692009658,12,TRULY SPIKED PINEAPPLE 4/6/12 CAN
11111111111,11,853394005218,12,BRICKWAY COFFEE VANILLA STOUT 4/6 12 OZ CN
11111111111,11,642860200451,12,FOUNDERS BLUSHING MONK 6/4 12 OZ
11111111111,11,000000077774,12,EMPTY VICTORY SM KEG
11111111111,11,603675203617,12,ALLAGASH RIVER TRIP BELGIAN TRIP 2/12 12OZ CANS
11111111111,11,784585022397,12,MANOIR DU CARRA BEAUJOLAIS - VILLAGES 12/750
69030417835,11,690304178354,12,LUXURY EDITION PROSECCO BRUT 7
11111111111,11,089744752857,12,SANTI SOAVE CLASSIC MONT
89875600163,11,898756001637,12,LINE 39 P NOIR 12PK 375ML
08600378021,11,086003780217,12,MOND CAB BBN BRL AGED PVT SEL
54100000056,11,071990700225,12,KILLIANS RED 1/6 BBL
08769283102,11,087692831020,12,SAM TWS TEA  4/6 12 OZNR
68658600200,11,686586002005,12,SANTA RITA CAB MED REAL NWUPC
08974476553,11,089744765536,12,RIUNITE LAMBRUSCO 2T NUPC 6PK
11111111111,11,635985260875,12,WHITE CLAW MANGO 4/6/12 CAN
11111111111,11,813473021218,12,JEKYLL HOP DANG DIGGITY 24/12 CAN 4/6
08520000077,11,085200000777,12,SUTTER SANGRIA MOSCATO 6/4PK 1
09998807178,11,099988071782,12,MENAGE A TROIS P GRIG LIMELGHT
74052211169,11,740522111685,12,BELL'S LAGER 4/6 CAN
11111111111,11,721512010164,12,SUN & RAIN ORG CHARD
08105499540,11,081054995405,12,CELLAR FOUR79 CALIF P NOIR 6PK
08051611380,11,080516113807,12,RIUNITE SANGRIA 1.5L
08858600343,11,088586003431,12,COL CREST MERLOT H3 +14 750ML
71016814502,11,710168118027,12,MONK'S CAFE 6/750ML
11111111111,11,085000017746,12,APOTHIC RED 750
11111111111,11,555500010696,12,HI WIRE LAGER 1/6BBL
08312019361,11,083120193616,12,FRANZIA SUNSET BLUSH 3L
08051666614,11,080516666143,12,BOLLA PROSECCO 6PK 750ML
85200104352,11,085200028832,12,CALIFORNIA ROOTS CAB SAUV
86785211167,11,086785211169,12,ROSCATO ROSE 2PK
85333600504,11,853336005047,12,SOCIAL VARIETY PACK 3/8PK 10OZ
08130800478,11,081308004785,12,CUPCAKE ROSE NV CAN TRAY 12PK 375ML
08248813510,11,082488135108,12,GUIN BLOND KEG 1/2 BBL 15.5 GAL
11111111111,11,111111111117,12,EMPTY STELLA ARTOIS 1/2 BBL
08600378036,11,086003780361,12,MOND CHARD BUTTERY PVT SEL 750ML
08769230050,11,087692300502,12,SAM ADAMS WINTER LAGER 4/6/12 NR
11111111111,11,071990300791,12,LIGHT 24PK LOOSE LN
11111111111,11,088586002144,12,SPRING VALLEY RED BLEND URIAH 6/750
11111111111,11,040232276590,12,CROOKED CAN CLOUD CHASER 4/6 CAN
11111111111,11,085000031025,12,BAREFOOT SUNSET RED BLEND 6/3L
11111111111,11,087692000334,12,AO CRISP 12PK BTL
11111111111,11,638489002477,12,DOGFISH AMRC BTY HAZY RIPL 4/6 12 CAN
08224201605,11,082242016056,12,BOTA BOX REDVOLUTION 3PK 3L
11111111111,11,111111111117,12,FH JADE IPA 1/6K
08248813510,11,082488135108,12,GUIN BLOND KEG 1/2 BBL 15.5 G
08520002759,11,085200027590,12,DUCK COMMANDER PNK MSCATO PRSS
11111111111,11,867722000288,12,EDDYLINE IPA 4/6/16 CN
72890006479,11,072890006479,12,HEINEKEN 15 BONUS 0.0 +15/12OZ CAN
67582954801,11,675829548011,12,LONGFORD ESTATE CHARD   KROGER
11111111111,11,052300004356,12,OLD MIL LIGHT BLUE 30PK
11111111111,11,111111111111,12,GATE CITY COPPERHEAD AMBER ALE 15.5G
11111111111,11,078250006332,12,STEEL RESERVE TROPICAL 12/24OZ CAN
11111111111,11,111111111111,12,TERRAPIN HOPSECUTIONER IPA 15.5G
11111111111,11,034100572433,12,LITE HG 24 BTL
08312010369,11,083120103691,12,FRANZIA SUNSET BLUSH 5L
08210017902,11,082100179022,12,ARBOR MIST EX FRT WH ZIN 750ML
08380404719,11,083804047198,12,COOKS SPUMANTE 750ML
18668200023,11,186682000238,12,RJ ROCKERS SON OF A PEACH 4/6PK
08130800072,11,081308000725,12,FISH EYE PINOT NOIR     3L 6PK
85774001318,11,857744001318,12,JOSH CELLARS CABERNET
08500001304,11,085000013045,12,LC SANGRIA
87739700040,11,877397000407,12,OBERON CAB NL 750ML
08312000097,11,083120000976,12,OAKLEAF SWT RED ECO 750ML
99999999990,11,099999999990,12,SADDLEBACK PINOT GRIGIO 1/12B/750ML
08576300003,11,085763000030,12,MESSINA GEWURZTRAMINER 750ML
08520000133,11,085200001330,12,SUTTER RED BLEND 1.5L
89450900880,11,894509008809,12,THREE THIEVES CAB NAPA 750ML
03410001509,11,034100015091,12,HIGH LIFE 2/12  12 OZ LN
64441400529,11,644414005291,12,ENDROIT CHARD MAULE VLY GR RSV
61126943472,11,611269277364,12,REDBULL SUGARFREE 8.4OZ 1/24 CN
08600300340,11,086003003408,12,WOODBRIDGE P NOIR 1.5L
85000251001,11,805000251005,12,VAI WAI NATURAL ART WATER FIJI
08678521248,11,086785212487,12,CAVIT SELECT RED BLND 1.5L
07089718331,11,070897183315,12,FOSTERS GREEN 12/25.4OZ OIL CAN
08520002858,11,085200028580,12,VINTAGE CRUSH CAB 1.5L
11111111111,11,111111111117,12,NB FAT TIRE 1/6K
11111111111,11,635985200253,12,WHITE CLAW HARD SELTZER BLACK CHERRY 4/6/12CN
85638001059,11,856358001059,12,ANNE AMIE PINOT GRIS
08158404767,11,081584047674,12,KJ CHARD AVANT NL 750ML
11111111111,11,851601000193,12,CHASING LIONS CAB
80686823117,11,080686823254,12,CANADIAN CLUB 100 PERCENT RYE
08143403123,11,081434031235,12,REX GOLIATH CHARD NL 750ML
08600378031,11,086003780316,12,MOND MERLOT PVT SEL RUM BL MNT
08427900130,11,084279001302,12,BELLA BOLLE MOSC PINEAPPLE 6PK
07825000605,11,078250006059,12,STEEL  BLKB 12/24 OZ CAN
67288220007,11,672882200078,12,CENTRAL WATERS SATIN SOLITUDE 4/6PK
11111111111,11,111111111117,12,COMMONHOUSE BROAD PATH 1/6 BBL
08224201569,11,082242015691,12,BOTA BOX NIGHTHAWK CHRD BIB3PK
15643257018,11,015643257018,12,VILLA JOLANDA ST VALENTINE I LOVE YOU
11111111111,11,857927004167,12,EMMA REICHART PINOT NOIR ROSE 12/750
11111111111,11,089924410034,12,YUENGLING 24/12 LN
11111111111,11,085000027851,12,LEFTIE RED BLEND 750
11111111111,11,095684025715,12,AMARONE CONTE DI BREGONZO VALPOLICELLA 12/750
11111111111,11,181585000200,12,RAHR ADIOS PANTALONES 4/6/12 CAN
11111111111,11,087692008040,12,TRULY HARD SELTZER TROPICAL VARIETY 2/12/12Z CN
11111111111,11,085000025581,12,GALLO T.V. SWEET APPLE 1.5
11111111111,11,071990095925,12,BMOON LIGHT SKY 2/12 12OZ.CAN
11111111111,11,088586009242,12,BORNE OF FIRE CAB SAUV 750
71512600011,11,715126000116,12,MONTES CAB ALPHA +14 750ML
11111111111,11,071990480455,12,KEY LT 15PK CAN REPEAL
11111111111,11,034100575090,12,LITE 2/12 BTL
11111111111,11,087692000839,12,ANGRY ORCHARD CRISP 2/12 12 OZ CN
11111111111,11,721512000691,12,FREY ORGANIC RED
11111111111,11,071250000140,12,COLT 45 4/6/16 CAN 5.6
70491114968,11,070491114968,12,FINEST CALL LIME JUICE
11111111111,11,855622000118,12,BELLE GLOS CLARK & TELE PN
11111111111,11,804414008507,12,ALDI DANCING FLAME RED BLEND 12/750
11111111111,11,869927000056,12,TRIPLE C GOLDEN BOY 6/4 16OZ CANS
11111111111,11,033544950418,12,CORONA PREMIER 4/6/12 BTL
11111111111,11,111111111111,12,NEW REALM PASTRY PORTER HORSE IMP PORTER5.16G
08520071874,11,085200718740,12,SUTTER SAUV BLANC 6/4PK PET 187ML
11111111111,11,850009785404,12,WICKED WEED DAY LIGHT 24/12 CAN 2/12
08130800348,11,081308003481,12,FLIP FLOP FIZZY CRISP WHT 6/4P
11111111111,11,034100012229,12,MOVO VARIETY 6/4 8.4OZ CAN
11111111111,11,099100023114,12,ALDI EVANTA MALBEC 12/750
08500004559,11,085000045596,12,BAREFOOT MOSCATO
11111111111,11,087692006862,12,TRULY SPIKED BERRY VARIETY 2/12/12 CAN
08312000065,11,083120000655,12,FRANZIA CAB 6PK 3L
08500000694,11,085000006948,12,C ROSSI BURGUNDY
71990300807,11,071990300807,12,COORS LIGHT 1/2 BBL
81128202428,11,081128202422,12,SLANE IRISH WHISKEY 12PK
87692752318,11,087692752318,12,SAM HALF/HALF  12/24OZ C
08500000679,11,085000006795,12,PETER VELLA CHARDONNAY
11111111111,11,018341151107,12,BAREFOOT MERLOT 1.5
08308590408,11,083085904081,12,RUFFINO PROSECCO 750ML
08130800125,11,081308001258,12,CUPCAKE RED VELVET 750ML
08520000135,11,085200001354,12,SUTTER HM P GRIGIO TETRA 500ML
18341151100,11,018341151107,12,W BAREFOOT MERLOT 1.5ML
08858600177,11,088586001772,12,14 HANDS MERLOT 750ML
08066095605,11,080660956053,12,CORONA 4/6 12 OZ LNNR
08210000047,11,082100000470,12,RICHARDS WILD IRISH ROSE 18%
