,PRODUCT_MASTER_CATALOG_KEY,PRODUCT_DESCRIPTION
73,341144,OLDE ENGLISH 800 MALT LIQUOR BEER 1 CT 24 OZ CAN 24 OZ
74,335,EASTCIDERS ORIGINAL CIDER 12PK
75,343237,BUD LIGHT BEER 24 CT 12 OZ CAN IN BOX 288 OZ
76,340021,FOUR LOKO US 10% 23.5OZ GOLD CAN
77,341441,BLUE MOON HONEY DAZE ALE BEER 6 CT 12 OZ CAN IN BOX 72 OZ
78,353517,PARROT BAY STRW RUM VIRG ISLS 750 ML
79,365508,BAY BRIDGE CABERNET SAUVIGNON 12/750ML
80,365870,CONCHA Y TORO CASILLERO DEL DIABLO CENTRAL VALLEY CHILE CABERNET SAUVIGNON 12/750ML
81,360671,APOTHIC WHT CAL WHT BLND/MRTG 750 ML
82,343365,MICHELOB GOLDEN DRAFT LIGHT BEER 24 CT 12 OZ CAN IN BOX 288 OZ
83,41796,PRIMO AMORE MOSCATO 750ML
84,349495,MODELO NEGRA BEER 1 CT 24 OZ CAN 24 OZ
85,95765,REVOLUTION BREWING SEASONAL 6 PACK 12 OZ CANS
86,362017,SUTTER HOME CHARDONNAY 187 ML
87,362191,RM WOODBG CALIF RIESLING 1.5 LTR
88,359981,MICHELOB ULTRA 16 OZ 2/12 PACK ALUMINUM BOTTLES
89,360697,BAREFOOT RD MOS RED VARTL OTH 1.5 LTR
90,365457,WINKING OWL CABERNET SAUVIGNON 12/750ML
91,343945,JOSE CUERVO CLASSIC LIME MARGART TEQUILA & TRIPLE SEC GLASS BOTTLE 1 CT 1.75LT
92,130750,ANGRY ORCHARD CARRIER 6X12OZ BOTTLES ANGRY ORCHARD ROSE
93,362659,SMIRNOFF ICE SMASH SCREWDRIVER 24/1/16OZ CAN
94,69232,TROPICALIA ALCOHOL - MALT BEVERAGE
95,75349,KRAGLE FREE WILL BREWING CO 16FL. OZ. CAN
96,343233,BUD LIGHT BEER 12 CT 40 OZ GLASS BOTTLE 480 OZ
97,366047,THE FEDERALIST LODI CABERNET SAUVIGNON 750ML
98,348575,GUINNESS EXTRA STOUT BEER 24 CT 12 OZ GLASS BOTTLE IN BOX 288 OZ
99,362880,SPARKLING ICE +CAFFEINE TRIPLE CITRUS 12/16OZ CANS
100,341204,COORS LIGHT BEER 24 CT 12 OZ LONG NECK BOTTLE 288 OZ
101,361637,FRANZIA BOX WHT ZINFANDEL 5 LTR+
102,348701,MODELO NEGRA BEER 6 CT 12 OZ GLASS BOTTLE IN CRTN 72 OZ
103,362863,SPARKLING ICE PEACH NECTARINE 12/17OZ PLASTIC BOTTLES
104,341670,OLD MILWAUKEE N A MALT BEVERAGE 12 CT 12 OZ CAN IN BOX 144 OZ
105,364755,NESQUIK CHOCOLATE REDUCED FAT 12/14OZ PLASTIC BOTTLES
106,348749,SMIRNOFF ICE PARTY PACK MALT BEVERAGE 24 CT 11 OZ GLASS BOTTLE IN BOX 268.8 OZ
107,341076,MILLER LITE BEER 12 CT 10 OZ CAN IN BOX 120 OZ
108,355527,CIROC PEACH IM OTH SPCLTS 375 ML
109,365794,JOHNNIE WALKER SCOTCH WHISKY BLUE LABEL 80 6/750ML
110,343980,JOSE CUERVO PINK LEMONADE MARGRT TEQUILA & TRIPLE SEC PLASTIC BOTTLE 1 CT 1.75LT
111,130897,ANGRY ORCHARD TRAY 2X12PK SLIM CAN ANGRY ORCHARD ROSE
112,365364,JOHNNIE WALKER BLACK 80PF  12/1.0L
113,360274,BOONE F STRW HL DOM BEVRGE WN 750 ML
114,366884,MICHAEL DAVID WINES RED FREAKSHOW LODI RED BLEND 12/750ML BOTTLE
115,352664,DOS EQUIS XX LAGER ESPECIAL BEER 18 CT 12 OZ LONG NECK BTL IN BOX 216 OZ
116,348269,LAGUNITAS MAXIMUS INDIA PALE ALE BEER 6 CT 12 OZ LONG NECK BTL CRTN 72 OZ
117,348748,SMIRNOFF ICE PARTY PACK MALT BEVERAGE 12 CT 11 OZ GLASS BOTTLE IN BOX 134.4 OZ
118,344720,HEINEKEN BEER 12 CT 12 OZ CAN IN BOX 144 OZ
119,145173,MARK WEST CA PNN
120,352583,YUENGLING TRADITIONAL LAGER BEER 12 CT 12 OZ LONG NECK BTL IN BOX 144 OZ
121,368028,ARGYLE PINOT NOIR WV 750ML BOTTLE
122,344575,SEAGRAMS ESCAPES JAMAICAN ME HAPPY MALT BEVERAGE 4 CT 11 OZ LONG NECK BOTTLE CARTON 44.8 OZ
123,35475,AMERICAN HONEY WT 750 355°/71P
124,358659,JOSE CUERVO ESP SLVR TQL 80 PRF 750 ML
125,343469,BUDWEISER SELECT BEER 24 CT 12 OZ CAN IN BOX 288 OZ
126,365738,FEVER TREE INDIAN TONIC WATER 6/4/200ML
127,105001,SYCAMORE STRAWBERRY LEMONADE GOSE 8PK CAROLINA CRAFT BEER
128,348890,SMIRNOFF ICE SMASH STRAWBERRY PLUS LEMON MALT BEVERAGE 1 CT 16 OZ CAN 16 OZ
129,145157,FOUR VINES OLD VINE ZINFANDEL
130,365324,J LOHR ESTATES ARROYO SECO RIVERSTONE CHARDONNAY 12/750ML
131,348666,CORONA EXTRA BEER 1 CT 24 OZ LONG NECK BOTTLE 24 OZ
132,131736,TWISTED TEA TRAY 24OZ CAN TWISTED TEA HALF & HALF
133,364713,LINDEMANS CHARDONNAY BIN #65 12/750ML
